title,article
"
		  【 咨询】成都简阳市印山公园建设问题",目前简阳印山公园从规划到建设无实质性进展；请问该公园还继续建设吗？什么时候开工建设？
"
		  【 求助】烦请杜鹃公园公厕搭顶棚",[求助，咨询贴]尊敬的领导你们好！本人2021年购置于鑫苑城丶璟和名邸九号地九栋商品房，当初销售只说九栋面对公园，但并未提醒公园里有公厕，所以即便如今心中对环境不满意退款退房是不可能了。目前九栋已经封顶，经实地考察，该公厕正对九栋，距离很近，尤其是楼层矮的住户入住后大概率会产生影响(毕竟没有任何人希望在阳台上就近距离正对公厕吧)。所以希望领导替广大九栋住户做主，或提解决办法，可否将该公厕门口走向改向，或者搭建顶棚，这样公厕门就不至于直接正面面对九栋住户了。领导有其他解决办法和建议烦请指点，多谢。
"
		  【 求助】武胜县HPV疫苗接种点及预约时间地点预约方式",宫颈癌逐步成为女性患癌榜榜首，越来越多年轻人开始意识到hpv疫苗的重要性，9价疫苗成为年轻女性HPV疫苗的首选。但是，9价难约成为人人得知的事情。为什么难约，首先摆在我们面前的就是，不知道哪些医院可以接种，不知道什么时间在什么地方预约疫苗。希望官方平台能够告知广大群众，可以接种HPV疫苗的医院，接种点的联系方式，可以预约的时间以及预约方式。
"
		  【 咨询】攀枝花市仁和区公安局断头路",咨询一下攀枝花市仁和区火车南站连接仁拉路的这条断头路(仁和公安分局)这个位置。据我了解，下一标段的拆迁赔付工作已经在2018年的时候基本完成，拆迁对象基本都签字领取拆迁款。但是到现在为止都未动工。这个位置是一条主干道，每天来往车辆非常多，连接处的路面已经严重损坏，导致我们出行很不方便，也影响了城市形象！请问这条路段政府是如何规划的？何时可以启动？如果暂时不动工，能否对此路面进行维护修补，以保障广大人民群众的出行便捷及安全
"
		  【 投诉】买房12年领不到产权证",我于2010年购买位于涪城区翠花街107号光明华都小区住房一套。（开发商:绵阳市光明房地产开发有限责任公司）但开发商至今未办妥我的不动产证，期间我多次与其相关人员联系均以各种理由推脱、搪塞，致使该房产至今无法正常交易，对我经济上造成了一定损失，精神造成了极大的伤害！并且开发商于2013年2月收取我房产契税费9830元，于2019年3月实际交税4480元，拒不退回多余款项给我。现恳请督促开发商办好我的不动产证，连本带息退还我多余款项，维护我的合法权益，谢谢！
"
		  【 投诉】青羊区玉沙路135号小区开门费问题",每天晚上十一点就关门  每次开门  一个人头竟然收2元钱   接个人都要算成4元钱   乱收费太严重了望解决。
"
		  【 投诉】小区楼顶违建铁皮房屋！投诉无门！",南部县水景湾小区楼顶搭建的铁皮房什么时候能处理？多次投诉为什么不处理！难道需要投诉国务院才会处理吗？今夜大风哐哐哐哐巨响！睡梦中被巨响惊醒！简直让人抓狂！到底能不能处理？到底要如何才会处理这些违章建筑！
"
		  【 投诉】关于取缔融城云熙黑旅店",青羊区顺城大街316号融城云熙小区，小区1-6楼为商业，分别为农行办公、温莎KTV、全季酒店；7-29层为居住型住房，但确有将近半数小区住宅被改为黑旅店，进行商业用途经营，小区来往人员复杂，自住业主们苦不堪言，长达数年之久，近几年来小区很多业主多次拨打12345市长热线和110报警均效果甚微。一直未有相关部门督导管理；在本次成都疫情刚出现时，就有业主在小区业主群内提示做好小区防控，杜绝黑旅店人员进出，把控好防疫关；此消息并没有引起相关黑旅店老板和工作人员的重视，依然每天住往人员络绎不绝，且单房间入住人员较多，少则1-2人，多则5-6人；当小区安保人员盘问登记时，黑旅店工作人员还给打掩护。导致4月初疫情在小区18楼黑旅店爆发，18楼临近住户被拉至酒店隔离，全楼其他居民被封闭在家中，影响了大家正常的工作和学习。同时，黑旅店前期被查处过治安事件也较多。我们目前在居家隔离期间，也向社区工作人员提出的解封后防疫保控需求：先暂停黑旅店的营业，各平台下架房间信息，清除目前黑旅店内在住人员。至少先要确保至大运会期间小区内的防疫巩固工作，避免此类群体居家隔离事件再次发生。但需还居住人员一个安全生活空间，还请相关执法部门尽快清理取缔黑旅店，才能让小区长治久安。
"
		  【 咨询】姐儿堰社区何时配建惠民菜市",高新区锦韵路育才竹岛、远大1-4期、嘉年华国际社区、齐盛艺境等周边方圆两公里范围内未配建有惠民菜市、健身篮球场、羽毛球场等群众开放性运动设施，造成周边数万群众买菜远、买菜贵、买菜难和无场地健身，肯请各级政府领导关心重视、尽快解决为谢！
"
		  【 求助】牛滩天天停水！",牛滩连续三天停水，每天晚上都没有水，这几天这么热，每天停水怎么洗澡！4月9日晚上9点左右说因潮河水厂供牛滩的自来水主管道爆管停水抢修，4月10日下午三点左右说因潮河水厂供牛滩片区的自来水供水不足又停止供水，今天11日中午12点又因潮河水厂供牛滩片区的自来水供水不足又停止供水，天天停水，还都是天气这么热的时候，请问到底什么时候才能保证供水，牛滩镇九中几千名师生天天无法洗澡，基本生活需求都保证不了，如何提高人民群众生活幸福感。
"
		  【 投诉】滴滴在泸州未获得经营许可，为何如此猖狂营运",尊敬的杨书记:目前的泸州已形成一体两翼的发展格局，但是发展的同时，别忽略了交通安全的重要性 滴滴在泸州未取得合法营运资质，为何如此猖狂的非法营运，责任主体谁来承担？市民坐车的生命财产安全谁来保证？大数据显示，滴滴在泸州每天有二、三万单的流水，意味着就有二、三万人存在安全隐患，这并非危言耸听，希望领导引起重视 给予市民一个安全的出行体验。目前的泸州市区有一千多辆巡游出租车，二千多合法的网约预约出租车，如果泸州的非法营运不作为的话，势必引起社会的不安定、不和谐。敬请杨书记体恤民情 早日给酒城泸州一片朗朗乾坤！
"
		  【 投诉】交通出行",赵市长你好：我是武胜县赛马镇一普通老百姓，反应一下赛马镇至烈面镇的公交车太难等、太难坐了，原来的私人公交车乘坐很方便又快，很方便老百姓乘坐，自从今年公交改革后坐车就非常不方便了。主要有一下几点：1、等车时间长基本上都是40——50分钟   2、随时坐车非常拥挤有时候人多了还坐不上车  3、只是一个人做车还好坐车，如果有东西就不好上车  4、如果有行李物品（背篼）司机就直接拒载或者除车费外另外加钱就可以上车 5、特别是上了年纪的老年人等车将近一个小时到头来还上不了车这叫什么事政府本来开通公交线路是方便老百姓出行，到头来还要给高价去坐摩托车随时有生命危险，成了‘阻碍’老百姓出行，自从今年公交车开通后没有一个人会觉得坐车方便，都说太不方便了，很难坐车也难等车，有人甚至直接骂政府，也有人觉得直接取消公交车，恢复原有的私运公交。还有一个问题就是 高石 至 武胜 22路公交线路全线 87 个站是不是有点太少了点，我估计放眼全四川可能要排 第 一 名   如果放到抖音上起码上万点击量，我家人坐了一次就不想坐了，宁愿高价包车都不坐这个车本人发誓以上全都是事实，可以核实调查下面附上武胜22路公交车相关线路图
"
		  【 投诉】烟雾警报器异常声响，天燃气公司和物业都不处理",烟雾警报器异常声响，报警灯没有亮，声响随着电源风光闪烁频率想，联系海科智城物业反馈，告知让我自行判断是否有燃气泄漏。拨打温江台商天燃气公司反馈，告知自行联系维修师傅协助。提供号码1无法拨通。提供号码2，告知我把电源拔掉就可以。电源拔掉确实不响了，那么烟雾报警器的这个异常声响是什么原因引起了没有说明，也没有表示需要上门查看。那如果真的是因为煤气泄漏导致的声响，我的人身安全由谁负责？那如果是烟雾报警器故障导致的声响，那我拔掉烟雾警报器之后，如果出现燃气泄漏，那我的生命财产安全又由谁保障？对于物业公司和燃气公司没有紧急处理的流程，对于业主和用户的安全置之不理，我表示强烈不满！
"
		  【 咨询】临江中央公园",请问下，位于搬罾的临江中央公园什么时候开工建设？目前的进度是什么？
"
		  【 咨询】二圈层学生公交卡",请问龙泉驿区的中小学生何时才能像其他区县一样，享受学生公交优惠卡。现在龙泉学生只能刷普通成人卡，全国大多数城市，包括很多西部欠发达地区都能支持学生卡，龙泉这样的超大城市二圈层却不能，这也算实实在在的民生问题，请领导及相关部门积极解决。
"
		  【 求助】温江客运中心不能网上购票",在网上查询能看到温江客运中心的车次表，但网上无温江客运中心的票可售
"
		  【 投诉】污水未处理，却收每吨0.85元的处理费。",我是资阳市安岳县李家镇居民，去前年政府启动了污水处理工程，进行了管道和污水处理厂的修建，但是居民的污水大部分没有进入管道，而是直接排放到河里面。从今年一月份开始，居民用水却征收每吨0.85元的污水处理费，这些乱收费行为，同时河水污染没得到改善，我请求返还的乱收的污水处理费，同时要求把污水进入管道进行处理。
"
		  【 求助】这棵大树谁来砍？电线压断安全责任谁来负？",一棵大树已严重威胁着电力安全，随时都有可能树枝压断电线，威协着来往人员的生命安全。我一个八十岁的老太婆，多次向资中供电局反映此问题，竞无人问津。谁来帮忙砍掉大树，还老百姓的生命安全？地点:资中县重龙镇文庙背后
"
		  【 求助】简阳川拖社区绛溪河大桥下面的路",简阳川拖社区，绛溪河大桥下面的路很烂。都几个月了都没有相关部门管一下，实在没办法才来这留言！希望领导们帮忙想想办法，路口实在大烂了！再这样下去小汽车都没法过了，
"
		  【 投诉】关于武侯区医疗保障事务中心办理业务天排队的问",每次去武侯区政务中心办理业务，那个办理医疗保险那里，就是医疗保障事务中心，不能提取预约，不能取号，每天都要现场排队，不明白为什么天天如此多的人排队的情况为什么不能改善，增加办事人员和窗口，是否能网上预约取号服务，非要现场排队才能办理业务吗，排队2小时，办事5分钟的情况屡屡皆是，就不能改进，去年我就去开一个少儿互助金的账户，早上8点到排队，10点进去，办理完就5分钟时间，今年还是一样的情况，早上9点排队几百米，快绕房子一圈了，领导些就天天看着长期排队的情况不作为，不想办法解决吗，利民的事不是大工程，就是这些排队办事的小事上体现出来
"
		  【 咨询】部分特殊工种提前退休不再办理",尊敬的领导:今获悉攀枝花市2022年对部分特殊工种提前退休不再办理的情况，感到特别震惊和愤怒！同在攀钢，同样的工种，2022之前都能按照特殊工种办理提前退休，好多同事都享受这一规定好多年了！为什么到今年就不行了？享受这一规定所执行的标准为什么前后不一？为了攀钢的改革和发展，也考虑到自己是特殊工种可以提前退休，很多同事都主动买断了工龄自谋出路。突然看到这样消息，的确让人无法接受！试问:执行现在的标准，还会有多少人买断工龄？现在那我们该怎么办？我们该找谁？
"
		  【 咨询】咨询四川省教师招聘考试时间及安排",尊敬的领导您好，请问一下四川公招考试已经确定了吗，对于应届毕业生来说五月集中答辩、办理离校事宜，且对于还未择业的学生而言五月下旬时间节点都很紧张，请问教师招聘考试有无计划于4月份举行呢，谢谢领导的解答！
"
		  【 咨询】荣县乐德镇柑子村5组",领导你们好，我是乐德镇柑子村5组的村民，我想替全村的村民问问，我们村的组与组的道路没有硬化，能不能帮助我们村的道路争取硬化道路
"
		  【 投诉】再问观澜云邸大门前的电线杆",尊敬的领导：2022年2月16日，网友询问观澜云邸大门前的电线杆迁移问题。2021年经过多方多次协调，嘉裕开发商向崇州供电部门提交迁移电线杆申请并得到批复，于7月21日向施工企业支付了电线杆迁移费用，崇州市供电部门已答复2021年底前完成电线杆迁移。可是，2021年过去了，观澜云邸小区大门前的电线杆至今还在那里站着。
"
		  【 建言】关于石牛公园前门修一条人行便桥的建议",希望在石牛公园前门修一条人行便桥，方便百伦广场及西大街区域往返石牛公园的市民通行问题，不然的话总是要绕道沱江桥或包家巷那座桥前往，如果新建此人行便桥，会缩短一大截绕道的距离，方便市民前去公园和体育场游玩，在此建议，希望郫筒街道办或区政府能采纳，为民造福。
"
		  【 咨询】请问哪里可以开超龄儿童小学一年级未就读证明？",领导你好:我与小孩户籍都在安居区分水镇  今年小孩准备下半年在成都入读小学一年级 因为超龄 需要出示小孩户籍地县级教育部门开具的未就读证明  请问领导这证明能拿地方开到？
"
		  【 投诉】世豪金街到底什么时候拆，请政府给个明确的答复",我朋友是一个开门市做生意的，生意一直很火爆，自从世豪金街有夜市卖夜宵之后，门市的生意越来越难做。我朋友就想问一下政府，到底是维护摆摊的小贩还是要保障门市的利益，毕竟门市是给了大笔资金投入的，所以想问问政府，能不能给一个保障，在世豪摆摊可以，不能卖吃的，行不行？还有一个重要的事情，世豪金街刚开始摆摊设点明确规定，不能使用明火，现在全部都在使用煤气罐，安全问题有没有考虑到，就目前世豪金街摆摊的所有用煤气罐的大概差不多50个，如果万一出问题了，谁来担这个责任？是政府部门，还是社区，还是物业呢？就这个问题，请尽快解决一下，谢谢
"
		  【 投诉】三河场地铁A口电瓶车收费",三河场地铁A口停放电瓶车，之前莫名的来一波收费的，收两天被投诉拆掉了，现在又来了，还把地铁站的一大片都围起来，目前没看到公示牌，没有收费标准，只是女人维持秩序让规范停车。停车收费有相关合法手续吗？政府的收费标准是多少？
"
		  【 咨询】两人离婚后拆迁补偿是不是有？",你好领导，我想问一下两人离婚后拆迁补偿有没有权利享有？户口在拆迁地。
"
		  【 咨询】泸县牛滩镇寿尊村天然气改道",因寿尊村天然气长期停气  听说要改道连接光明那边的天然气管道 是真的吗
"
		  【 求助】绵竹市孝德镇清华社区5组内涝、建议",市委领导：我是绵竹孝德镇清华社区5组村民，特向你们反映我所居往地点的内涝问题长达5年，给我们5组村民造成严重的财产损失和严重的安全隐患，情况如下：1、近几年市飞速发展，城市规划日新月异，新建了盛世华章、南轩雅居、仟坤天玺、城南一号等及相关安置小区，城市规划未将地下排水管线按最大排水设计，一到每年7一9月暴雨时地下管网全部大量冒水造成清道转盘处50cm深的水全部冲入第三人民医院对面村落，造成水淹；2、城市管网前3年设计至龙桥马尾河，结果未修通，无法排水；3、南光大道修建几次把路基越抬越高，造成村里民房地势越低至水涝；4、南光大道两边很多年就纳入城市规划，又不准修建，而迟迟不见规划落地，至成三不管地点，找到社区罗时俊书记，书记也只有每年帮助搞一些沙袋等临时措施处理，但没有实效，问题反映后一直没有处理；5、前几年第三人民医院修于对面良田中，未认真落实上游水沟排水并做沟太窄，无法将上游水排走，导致水淹内涝；以上5点，请领导及时给老百姓排优解难，为民做主，实地踏勘，了解实情，把老百姓安全、财产给予高度重视；建议：1、及时把至龙桥的排水管网修通；2、将南光大道右侧（周坛子）雨水管网直接排入凉水井明沟（大概50一80米），花钱少，速度快；3、根据城南新区规划，请把106仓库至凉水井一并规划进去，解决杨家河及5组黑恶臭水体及居住环境；谢谢领导！
"
		  【 投诉】关于安州区界牌镇自来水的问题",相关领导好：安州区界牌镇祥和小区，最近几年除了冬天水体供应水压正常之外，其余都是水压低的连热水都没有，早上回家洗澡没热水，还不如我们乡里水源充足，已经向相关政府反映多次未果，请协调解决一下水源问题，再则水源质量也是差得很，很多泥沙和杂物，水龙头经常堵塞，希望帮忙解决一下吧，谢谢
"
		  【 求助】孝德镇清华社区5组内涝",市委领导：我是孝德德清华社区5组村民，特向你们反映我所居往地点的内涝问题长达5年，给我们5组村民造成严重的财产损失和严重的安全隐患，情况如下：1、近几年市飞速发展，城市规划日新月异，新建了盛世华章、南轩雅居、仟坤天玺、城南一号等及相关安置小区，城市规划未将地下排水管线按最大排水设计，一到每年7一9月暴雨时地下管网全部大量冒水造成清道转盘处50cm深的水全部冲入第三人民医院对面村落，造成水淹；2、城市管网前3年设计至龙桥马尾河，结果未修通，无法排水；3、南光大道修建几次把路基越抬越高，造成村里民房地势越低至水涝；4、南光大道两边很多年就纳入城市规划，又不准修建，而迟迟不见规划落地，至成三不管地点，找到社区罗时俊书记，书记也只有每年帮助搞一些沙袋等临时措施处理，但没有实效；5、前几年第三人民医院修于对面良田中，未认真落实上游水沟排水并做沟太窄，无法将上游水排走，导致水淹内涝；以上5点，请领导及时给老百姓排优解难，为民做主，实地踏勘，了解实情，把老百姓安全、财产给予高度重视，谢谢领导
"
		  【 求助】医保电子凭证归参保地变更",请问医保电子凭证的参保地怎么变更，之前是绵阳的，现在在东部新区购买的社保，必须去大厅才能修改吗？
"
		  【 投诉】江山原筑8栋三单元顶楼封闭消防通道",8栋三单元顶楼私自加装不锈钢栏杆把所有消防通道全部封闭   到时候如果发生火灾，让我们楼下的住戶怎么办？这个是关系我们生命的事情，想请领导尽快处理。顶楼本来就属于全体业主
"
		  【 投诉】取消乐山世豪金街夜市",乐山世豪金街，起于2020年中旬，当时的情况是因为疫情，政府为了平衡市场，就把世豪金街用于临时摆摊设点，当时说过只有1年时间，现在都2022年了，夜市依然存在，给我们住户带来了极大的影响，每天的油烟，噪音，卫生，真的是越来越差，严重影响了睡眠质量，业主找物业投诉也没用，现恳请政府部门尽快处理这个问题，把夜市取消，还小区一个安静舒适的环境。
"
		  【 建言】西外莲湖一小旁边路口的压线抓拍不合理",西外莲湖一小旁边路口有个压线抓拍。然而接送孩子的车辆经常侵占右转车道，导致过往车辆压线转弯。此处安装压线抓拍抓的不是违停的家长，而是无辜被挤压车道的社会车辆，并不合理。
"
		  【 咨询】农村户口购房补贴",尊敬的领导您好！ 我是2015年在乐山市中区领地国际公馆买的房子，因为我是农村户口，就有那个政府购房补贴，中途因为种种原因，2021年4月份才拿到房产证，然后就去了政府服务中心办理了购房补贴发放申请，工作人员说要等到2022年3月份才可以领到，但是今天我去政府服务中心咨询，工作人员答复我是现在才发放到2020年6月份递交的申请，按照这个说法的话，我的这个补贴不知道要到猴年马月才能发放下来，所以请领导关注一下！谢谢
"
		  【 咨询】《读懂孩子，轻松做父母》线上公益课卖课是合规",学校组织家长务必观看的，在4月28日晚上6：50向微信链接播放的《读懂孩子，轻松做父母》为主题的线上家庭教育公益课程。宣传内容是：“帮助家长解决以下问题：培养孩子学习主动性，家长如何帮助孩子合理安排时间制定计划， 解决青春期孩子叛逆，学习迷茫，迷恋网络等问题，明确学习方向，让孩子懂得孝道，懂得感恩，如何建立良好亲子关系，进行有效沟通，让孩子养成良好的学习习惯，做成功父母，助孩子成才，”结果“专家”在网上直播间里竟向家长和学生推销收费课程，虽然课程是自愿购买的，但以推送家庭教育直播课为幌子，进行直播带课，售卖教育资源是否不妥？
"
		  【 投诉】开发商开据的购房发票与备案面积不符，不能缴税",去年九月交房，开发商一直拖延不开据购房发票，今年三月份经过政府协调，开发商极不情愿的开了发票，但我们拿发票去缴纳购房契税时，税务局说发票面积与备案面积不符，导致我们缴不了税，需要开发商出具补充协议，但开发商跑了我们一直联系不上开发商，导致至今不能缴纳购房契税，请相关部门帮我们联系开发商解决发票问题，谢谢！
"
		  【 求助】老板拖欠员工工资",大家好，我是一名中餐厨师在一家中餐厅干厨师三年多了，之前只签订了一年合同，老板因欠债太多，也是老赖，一直拖欠员工工资，开始说每月十号发工资，结果十五号，然后二十号，后又月底。。月底又搞两个月，发工资也是一千两千的发，对于员工工资多次开会讨论迟迟兑不了现，去年十二月二十我以短信行事向厨师长提出辞职，辞职也是提前一个月提出的，说年过了我就不会去上班，正月初二我就没有去上班了，那时忙他就在外面请了一个临时厨师三百一天，后来找他结元月份的工资，他说要把我的工资给临时厨师十四天的工钱，各位朋友有好的建议给我支支招，谢谢！
"
		  【 建言】江油市乐天假日酒店旁垃圾桶的垃圾应该清理",尊敬的领导您好，就是江油市乐天假日酒店旁，垃圾桶的垃圾都没有清理，落的满地都是，希望能及时清理一下，谢谢
"
		  【 求助】办理身份证快四个月了，去查询还没到证件下放中",我于2022.1.12号在岳池办理了身份证，但到现在2022.5.08还未收到身份证，大约快四个月了。并且去查询，上面显示身份证发送 还未到身份证下放中这一步。（法律上明确写的有，身份证制作不会超过三个月的，但现在本人的身份证制作显然已经超过了法定规定日期）我身份证于2022.6.20几号就要过期，并且我现在在外地，身份证到后我还需让母亲从老家将身份证寄到我现在读书的地方，所以我现在非常着急
"
		  【 求助】企业宣布关闭，工资和社保没有支付",年4月12日，位于金牛区迎宾大道299号的迎宾春天酒店宣布解散了，要求员工去签离职申请，但是宾馆的保泊部5人没有签任何合同，也没有买任何的保险，没有人通知不要上班了，现在已经失业没有失业保险可以领，酒店也没有任何补偿，连3月和4月这12天的工资也没有任何说法，请政府给打工人帮讨个说法
"
		  【 求助】化粪池补贴没收到该怎么办",我是夹江县联盟村2组村民，自费修建化粪池，村领导说修好后有补贴，但快两年了还没领到，该哪个部门员责管理此事，望解感。
"
		  【 投诉】合谊万景台物业垄断收费",楼盘物业 消防水管设计不合理业主拿到房子必须要改管道，物业现在拒绝其他公司进场施工（拒绝的理由为：其他消防公章不能作为资质审核的依据，要盖私章物业才接受。物业提供的单位就可以不提供私章），只有和物业合作的单位可以高价施工。
"
		  【 投诉】成都市妇女儿童医院网上预约挂号无法网上退费",2022年4月23日早上，约当日的号，付费后，因为不在孩子身边，由老人带不到6个月的孩子，小朋友有点咳嗽，老人没有说清楚，本着不为防疫添堵的原则，着选择就近就医，看预约界面可以选择取消，就取消预约，然而退个挂号费还要去医院找医生，现在什么时代了，不去就不退，强制消费吗？钱不多，但是这样做法令人恶心。
"
		  【 建言】科创园奥林春天的商业广场改成了停车场",尊敬的领导您好，就是科创园：奥林春天3期.1栋商业广场，前期规划的是业主休闲娱乐场所，后面物业公司（成都忠信物业）私自改为停车场。严重侵害我们业主的利益。有关部门安装了阻车桩，物业又组织人员全部撤除，拿回小区放着，希望能派相关部门看看，谢谢
"
		  【 投诉】电桩倾斜威胁路人生命安全",希望修下中和街道仁和社区门口的电桩谢谢！电线裸露，电桩倾斜，下雨天影响路人生命安全，漏电或者砸下来真的很可怕！希望处理下，谢谢！
"
		  【 投诉】南充市晶晶幼儿园建设长期噪音扰民",南充市晶晶幼儿园，位于顺庆区白土坝路新豪天地与汇金国际中间位置，现建设中，长期噪音扰民，每天不论是午休时间还是深夜均噪音施工，年前更是通宵施工，严重影响周边居民生活，请相关领导彻查管制，谢谢！
"
		  【 投诉】关于石桥铺镇政府等对超限车辆不执法的投诉信",超限车辆日日夜夜不定时通过凌家桥多年，但是石桥铺镇政府和大竹县交通运输局等有关单位对这种违法现象一直视而不见，不监督不执法。纵容排污大户（四川富圣纸业有限公司）的超限运输车辆大摇大摆地经过凌家桥（自有车辆或者有业务往来的超限运输车辆）。桥梁限重5吨，货车载重多则二三十吨。桥梁建成几十年，存在严重的安全隐患。有关部门有法不依，是摆设吗？公路、、公路隧道或者汽车渡船的、限高、限宽、限长公路、或者公路隧道内，不得使用汽车渡船。超过公路或者公路桥梁限载标准确需行驶的，必须经县级以上地方人民政府交通主管部门批准，并按要求采取有效的防护措施；运载不可解体的超限物品的，应当按照指定的时间、路线、时速行驶，并悬挂明显标志。有下列违法行为之一的，由交通主管部门责令停止违法行为，：（一）违反本法第四十四条第一款规定，擅自占用、挖掘公路的；（二）违反本法第四十五条规定，未经同意或者未按照公路工程技术标准的要求修建桥梁、渡槽或者架设、埋设管线、电缆等设施的；（三）违反本法第四十七条规定，从事危及公路安全的作业的；（四）违反本法第四十八条规定，铁轮车、履带车和其他可能损害路面的机具擅自在公路上行驶的；（五）违反本法第五十条规定，车辆超限使用汽车渡船或者；（六）违反本法第五十二条、第五十六条规定，损坏、移动、涂改公路附属设施或者损坏、挪动建筑控制区的标桩、界桩，可能危及公路安全的。违反本条例的规定，在公路上行驶的车辆，车货总体的外廓尺寸、轴荷或者总质量超过公路、公路桥梁、公路隧道、汽车渡船限定标准的，由公路管理机构责令改正，对1年内违法超限运输超过3次的货运车辆，由道路运输管理机构吊销其车辆营运证；对1年内违法超限运输超过3次的货运车辆驾驶人，由道路运输管理机构责令其停止从事营业性运输；道路运输企业1年内违法超限运输的货运车辆超过本单位货运车辆总数10%的，由道路运输管理机构责令道路运输企业停业整顿；情节严重的，吊销其道路运输经营许可证，并向社会公告。
"
		  【 投诉】峨眉山市人民医院下面茶楼噪音扰民",峨眉山市人民医院楼下茶楼，半夜12点了还有人打麻将，严重噪音扰民
"
		  【 投诉】课后服务费",请问四川巴中教育局，2022年的小学生课后服务费是多少钱，为什么是每天7元钱以上的收取，而且老师表明说
"
		  【 咨询】农村养牛有补贴吗？",领导您好，我从去年回家务农，种了一些庄家，但是收入完全不够，所以我就借了几万元自己养了10头黄牛，到目前自己养起确实困难了，就是想问问像这样养牛有没有政府支持？补贴这些呢？
"
		  【 咨询】娃儿读书",小朋友在成都读幼儿园，如果要回老家读一年级是不是还需要再老家在读一年幼儿园
"
		  【 求助】小升初广汉户籍外地学籍的问题",请问领导:我家孩子今年小升初，广汉城区户籍外省学籍，想回广汉上初中，是否可以参加广汉6月份的小升初考试，享受和其他孩子一样的选择广中的权利？如果不能参加考试，那是不是按户籍所在地划分的初中就近入学？急切需要您的回复，万分感谢
"
		  【 投诉】四川省人民医院不能退挂号",我在2022.3.24日11:19分预约了3.25号的号，因家里临时有事，无法准时就医，想要退挂号，居然退不了，提示24小时以内不能退号，简直就是霸王条款
